imageName X Y Z Omega Phi Kappa
DJI_0001.JPG 755495.061769 3279284.605458 42.501870 0.376604 -1.048478 -140.700293
DJI_0002.JPG 755496.567270 3279283.371196 42.588912 0.371491 -1.735155 -148.656949
DJI_0003.JPG 755497.949032 3279282.033079 42.704217 0.280920 -1.953844 -148.657354
DJI_0004.JPG 755499.178685 3279280.577709 42.716564 0.478204 -2.476712 -149.272211
DJI_0005.JPG 755500.506267 3279279.121765 43.039742 0.546628 -2.776320 -149.411151
DJI_0006.JPG 755501.810848 3279277.742948 43.012710 0.474148 -3.142946 -149.679608
DJI_0007.JPG 755503.043837 3279276.434546 42.894254 0.529357 -3.171002 -149.690508
DJI_0008.JPG 755504.299698 3279275.080970 42.725557 0.635323 -2.889011 -150.008552
DJI_0009.JPG 755505.604101 3279273.619743 42.788509 0.438522 -3.329723 -150.409886
DJI_0010.JPG 755506.958948 3279272.149523 42.676821 0.619927 -3.245166 -150.209169
DJI_0011.JPG 755508.372981 3279270.627626 42.791717 0.660364 -3.265426 -149.930125
DJI_0012.JPG 755509.729694 3279269.047600 42.705404 0.436559 -3.371349 -151.125854
DJI_0013.JPG 755511.018919 3279267.401738 42.634252 1.036099 -3.746503 -150.849068
DJI_0014.JPG 755512.510325 3279266.036229 42.573163 1.478212 -3.599737 -151.021446
DJI_0015.JPG 755514.973906 3279263.360667 42.886552 1.788080 -3.578916 -151.307305
DJI_0016.JPG 755516.288929 3279262.035125 42.845018 1.396855 -3.596930 -151.164164
DJI_0017.JPG 755517.605993 3279260.624228 42.666556 1.458906 -3.402512 -151.140062
DJI_0018.JPG 755519.018349 3279259.252630 42.470262 1.548558 -2.845214 -151.341605
DJI_0019.JPG 755520.274191 3279257.858934 42.484016 2.042769 -2.755420 -151.693086
DJI_0020.JPG 755521.462092 3279256.229058 42.384923 1.668429 -3.358753 -151.467984
DJI_0021.JPG 755522.777934 3279254.986402 42.624839 2.092144 -3.006543 -151.075209
DJI_0022.JPG 755524.271001 3279253.572086 42.742073 2.390729 -2.973844 -150.746399
DJI_0023.JPG 755526.747280 3279250.690334 42.608760 2.112689 -2.763860 -150.153311
DJI_0024.JPG 755527.977761 3279249.248205 42.588474 2.500560 -2.878615 -150.440092
DJI_0025.JPG 755529.356426 3279247.843390 42.683596 2.519183 -2.617734 -150.784743
DJI_0026.JPG 755530.665397 3279246.410188 42.471636 2.304551 -3.071864 -150.759239
DJI_0027.JPG 755532.152757 3279245.155985 42.367491 2.648412 -2.567853 -151.153897
DJI_0028.JPG 755533.486361 3279243.807910 42.477774 2.420329 -2.806945 -151.750234
DJI_0029.JPG 755534.965932 3279242.522372 42.401901 2.986782 -3.081193 -151.770197
DJI_0030.JPG 755539.240077 3279238.683760 42.809365 0.052113 -1.674645 -152.061793
DJI_0031.JPG 755540.532308 3279237.190010 42.731599 0.091174 -1.833497 -151.931139
DJI_0032.JPG 755541.847428 3279235.890905 42.684088 -0.107017 -1.630916 -152.205402
DJI_0033.JPG 755543.235877 3279234.308909 42.835165 -0.192202 -2.053683 -152.063520
DJI_0034.JPG 755544.522363 3279232.892888 43.050623 -0.272411 -2.318485 -151.422659
DJI_0035.JPG 755545.854923 3279231.649133 43.236475 -0.060095 -2.199310 -151.507243
DJI_0036.JPG 755548.548730 3279229.000427 43.100851 0.496703 -2.747053 -151.297793
DJI_0037.JPG 755546.522860 3279227.146985 42.824337 -0.413935 -3.256049 56.251416
DJI_0038.JPG 755545.395515 3279228.345421 42.567121 -1.037386 -0.597041 56.358882
DJI_0039.JPG 755544.021965 3279229.714413 42.559508 -1.573516 0.602488 55.403295
DJI_0040.JPG 755542.608430 3279231.058734 42.571506 -1.954909 1.758634 54.476324
DJI_0041.JPG 755541.179275 3279232.502705 42.569796 -1.891212 1.928466 56.177980
DJI_0042.JPG 755539.693414 3279233.917374 42.499530 -2.194309 2.407499 56.613835
DJI_0043.JPG 755538.230732 3279235.320111 42.431788 -2.460651 2.630344 56.945149
DJI_0044.JPG 755536.769088 3279236.811665 42.325442 -2.903573 2.486348 56.840979
DJI_0045.JPG 755534.096303 3279239.281690 42.161593 -0.485067 2.164747 59.738717
