imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
DJI_0001.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755495.061769, 3279284.605458, 42.501870, 755491.842290, 3279286.081991, 60.131000, 5.000000, 5.000000, 10.000000, 0.376604, -1.048478, -140.700293, 0.013114, 0.014328, 0.049682, 0.062302, 0.071147, 0.026000, 1.000000
DJI_0002.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755496.567270, 3279283.371196, 42.588912, 755493.400499, 3279285.279418, 60.131000, 5.000000, 5.000000, 10.000000, 0.371491, -1.735155, -148.656949, 0.012645, 0.013953, 0.049719, 0.061561, 0.068731, 0.024810, 1.000000
DJI_0003.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755497.949032, 3279282.033079, 42.704217, 755494.578599, 3279284.144673, 60.131000, 5.000000, 5.000000, 10.000000, 0.280920, -1.953844, -148.657354, 0.012379, 0.013458, 0.049937, 0.058837, 0.067128, 0.023300, 1.000000
DJI_0004.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755499.178685, 3279280.577709, 42.716564, 755496.041330, 3279282.569650, 60.131000, 5.000000, 5.000000, 10.000000, 0.478204, -2.476712, -149.272211, 0.011959, 0.012529, 0.049748, 0.054778, 0.064041, 0.021242, 1.000000
DJI_0005.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755500.506267, 3279279.121765, 43.039742, 755497.094787, 3279281.351958, 60.131000, 5.000000, 5.000000, 10.000000, 0.546628, -2.776320, -149.411151, 0.011400, 0.011618, 0.051097, 0.047143, 0.059744, 0.018336, 1.000000
DJI_0006.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755501.810848, 3279277.742948, 43.012710, 755498.526236, 3279279.850170, 60.231000, 5.000000, 5.000000, 10.000000, 0.474148, -3.142946, -149.679608, 0.011145, 0.011121, 0.050853, 0.043725, 0.058776, 0.017021, 1.000000
DJI_0007.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755503.043837, 3279276.434546, 42.894254, 755500.049427, 3279278.221064, 60.231000, 5.000000, 5.000000, 10.000000, 0.529357, -3.171002, -149.690508, 0.010995, 0.011009, 0.050229, 0.042680, 0.059241, 0.016365, 1.000000
DJI_0008.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755504.299698, 3279275.080970, 42.725557, 755501.135130, 3279277.124270, 60.131000, 5.000000, 5.000000, 10.000000, 0.635323, -2.889011, -150.008552, 0.010708, 0.010871, 0.049385, 0.041289, 0.059677, 0.015740, 1.000000
DJI_0009.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755505.604101, 3279273.619743, 42.788509, 755502.613376, 3279275.577331, 60.131000, 5.000000, 5.000000, 10.000000, 0.438522, -3.329723, -150.409886, 0.010859, 0.010934, 0.049638, 0.040626, 0.060036, 0.015785, 1.000000
DJI_0010.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755506.958948, 3279272.149523, 42.676821, 755503.722850, 3279274.382483, 60.131000, 5.000000, 5.000000, 10.000000, 0.619927, -3.245166, -150.209169, 0.010770, 0.011078, 0.049097, 0.040806, 0.060826, 0.016130, 1.000000
DJI_0011.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755508.372981, 3279270.627626, 42.791717, 755505.211228, 3279272.863505, 60.031000, 5.000000, 5.000000, 10.000000, 0.660364, -3.265426, -149.930125, 0.010802, 0.011384, 0.049629, 0.040215, 0.062655, 0.015705, 1.000000
DJI_0012.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755509.729694, 3279269.047600, 42.705404, 755506.646633, 3279271.306347, 60.131000, 5.000000, 5.000000, 10.000000, 0.436559, -3.371349, -151.125854, 0.010693, 0.011413, 0.049184, 0.040095, 0.063162, 0.016169, 1.000000
DJI_0013.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755511.018919, 3279267.401738, 42.634252, 755507.704396, 3279270.017888, 60.131000, 5.000000, 5.000000, 10.000000, 1.036099, -3.746503, -150.849068, 0.011038, 0.011731, 0.048861, 0.043340, 0.064392, 0.016502, 1.000000
DJI_0014.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755512.510325, 3279266.036229, 42.573163, 755509.246731, 3279268.493978, 60.131000, 5.000000, 5.000000, 10.000000, 1.478212, -3.599737, -151.021446, 0.011227, 0.012139, 0.048598, 0.047907, 0.065767, 0.017370, 1.000000
DJI_0015.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755514.973906, 3279263.360667, 42.886552, 755511.844000, 3279265.687707, 60.031000, 5.000000, 5.000000, 10.000000, 1.788080, -3.578916, -151.307305, 0.010955, 0.011051, 0.050067, 0.045574, 0.059262, 0.017563, 1.000000
DJI_0016.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755516.288929, 3279262.035125, 42.845018, 755513.330793, 3279264.356641, 60.131000, 5.000000, 5.000000, 10.000000, 1.396855, -3.596930, -151.164164, 0.010742, 0.010675, 0.049759, 0.044919, 0.058198, 0.016587, 1.000000
DJI_0017.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755517.605993, 3279260.624228, 42.666556, 755514.818122, 3279262.883857, 60.031000, 5.000000, 5.000000, 10.000000, 1.458906, -3.402512, -151.140062, 0.010400, 0.010242, 0.048803, 0.043501, 0.056856, 0.015898, 1.000000
DJI_0018.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755519.018349, 3279259.252630, 42.470262, 755516.056387, 3279261.944593, 60.231000, 5.000000, 5.000000, 10.000000, 1.548558, -2.845214, -151.341605, 0.010066, 0.010449, 0.047802, 0.044638, 0.058041, 0.015588, 1.000000
DJI_0019.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755520.274191, 3279257.858934, 42.484016, 755517.462100, 3279260.272760, 60.131000, 5.000000, 5.000000, 10.000000, 2.042769, -2.755420, -151.693086, 0.009876, 0.009715, 0.047805, 0.041630, 0.054315, 0.014779, 1.000000
DJI_0020.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755521.462092, 3279256.229058, 42.384923, 755518.461815, 3279259.050764, 60.231000, 5.000000, 5.000000, 10.000000, 1.668429, -3.358753, -151.467984, 0.010295, 0.009439, 0.047300, 0.045191, 0.053325, 0.015200, 1.000000
DJI_0021.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755522.777934, 3279254.986402, 42.624839, 755519.974039, 3279257.430655, 60.031000, 5.000000, 5.000000, 10.000000, 2.092144, -3.006543, -151.075209, 0.009652, 0.010123, 0.048438, 0.040545, 0.054374, 0.015346, 1.000000
DJI_0022.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755524.271001, 3279253.572086, 42.742073, 755521.422576, 3279256.006285, 60.131000, 5.000000, 5.000000, 10.000000, 2.390729, -2.973844, -150.746399, 0.009910, 0.009963, 0.049010, 0.040049, 0.053119, 0.014569, 1.000000
DJI_0023.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755526.747280, 3279250.690334, 42.608760, 755524.011383, 3279253.335392, 60.131000, 5.000000, 5.000000, 10.000000, 2.112689, -2.763860, -150.153311, 0.009479, 0.009390, 0.048441, 0.037239, 0.050215, 0.013729, 1.000000
DJI_0024.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755527.977761, 3279249.248205, 42.588474, 755525.094374, 3279252.121456, 60.031000, 5.000000, 5.000000, 10.000000, 2.500560, -2.878615, -150.440092, 0.009553, 0.009821, 0.048390, 0.038415, 0.051319, 0.013921, 1.000000
DJI_0025.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755529.356426, 3279247.843390, 42.683596, 755526.580418, 3279250.587022, 60.131000, 5.000000, 5.000000, 10.000000, 2.519183, -2.617734, -150.784743, 0.009566, 0.009684, 0.048919, 0.037074, 0.050072, 0.013642, 1.000000
DJI_0026.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755530.665397, 3279246.410188, 42.471636, 755527.936087, 3279248.984915, 60.131000, 5.000000, 5.000000, 10.000000, 2.304551, -3.071864, -150.759239, 0.009588, 0.009524, 0.047952, 0.037541, 0.050080, 0.013690, 1.000000
DJI_0027.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755532.152757, 3279245.155985, 42.367491, 755529.174679, 3279247.913172, 60.131000, 5.000000, 5.000000, 10.000000, 2.648412, -2.567853, -151.153897, 0.009382, 0.009786, 0.047520, 0.037101, 0.050005, 0.013742, 1.000000
DJI_0028.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755533.486361, 3279243.807910, 42.477774, 755530.645747, 3279246.208937, 60.131000, 5.000000, 5.000000, 10.000000, 2.420329, -2.806945, -151.750234, 0.009814, 0.009887, 0.048149, 0.039317, 0.049555, 0.014418, 1.000000
DJI_0029.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755534.965932, 3279242.522372, 42.401901, 755531.799707, 3279245.070564, 60.231000, 5.000000, 5.000000, 10.000000, 2.986782, -3.081193, -151.770197, 0.010224, 0.010980, 0.047870, 0.043318, 0.052896, 0.015381, 1.000000
DJI_0030.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755539.240077, 3279238.683760, 42.809365, 755536.165613, 3279240.616138, 60.131000, 5.000000, 5.000000, 10.000000, 0.052113, -1.674645, -152.061793, 0.010370, 0.012033, 0.049838, 0.052008, 0.055766, 0.018652, 1.000000
DJI_0031.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755540.532308, 3279237.190010, 42.731599, 755537.330102, 3279239.370166, 60.131000, 5.000000, 5.000000, 10.000000, 0.091174, -1.833497, -151.931139, 0.009891, 0.011454, 0.049303, 0.047361, 0.054789, 0.017011, 1.000000
DJI_0032.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755541.847428, 3279235.890905, 42.684088, 755538.748810, 3279237.837281, 60.131000, 5.000000, 5.000000, 10.000000, -0.107017, -1.630916, -152.205402, 0.009678, 0.011165, 0.048991, 0.045185, 0.053861, 0.015935, 1.000000
DJI_0033.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755543.235877, 3279234.308909, 42.835165, 755540.139627, 3279236.346896, 60.131000, 5.000000, 5.000000, 10.000000, -0.192202, -2.053683, -152.063520, 0.009684, 0.010991, 0.049679, 0.043161, 0.052767, 0.015256, 1.000000
