DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.0639662, 0.0363177, 0.945304, -0.0283223, -0.0681022, -0.00163181
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.140112, -0.098767, -0.690877, 0.0158352, 0.0457345, 0.0167155
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.140739, 0.0962931, -0.285344, 0.0146938, 0.00211109, 0.00601064
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0314431, 0.0747177, 0.195521, -0.0605777, 0.0539595, -0.00256319
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.026998, -0.0136803, -0.308384, 0.00896089, 0.0217025, -0.000593427
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0304679, 0.0121139, 0.450155, -0.0100889, -0.0422316, -0.00154483
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, -0.0180324, 0.0157189, -0.018391, 0.0386511, -0.0160925, -0.0289439
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, 0.0351877, -0.031636, 0.0313887, 0.0285519, 0.00768752, 0.102356
0.0639662, -0.140112, -0.140739, 0.0314431, -0.026998, 0.0304679, -0.0180324, 0.0351877, 1, -0.0565481, 0.139501, 0.515435, 0.550387, 0.364717
0.0363177, -0.098767, 0.0962931, 0.0747177, -0.0136803, 0.0121139, 0.0157189, -0.031636, -0.0565481, 1, -0.101022, -0.635144, 0.612941, -0.111307
0.945304, -0.690877, -0.285344, 0.195521, -0.308384, 0.450155, -0.018391, 0.0313887, 0.139501, -0.101022, 1, 0.188076, -0.133034, 0.0760685
-0.0283223, 0.0158352, 0.0146938, -0.0605777, 0.00896089, -0.0100889, 0.0386511, 0.0285519, 0.515435, -0.635144, 0.188076, 1, -0.14315, 0.316297
-0.0681022, 0.0457345, 0.00211109, 0.0539595, 0.0217025, -0.0422316, -0.0160925, 0.00768752, 0.550387, 0.612941, -0.133034, -0.14315, 1, -0.10142
-0.00163181, 0.0167155, 0.00601064, -0.00256319, -0.000593427, -0.00154483, -0.0289439, 0.102356, 0.364717, -0.111307, 0.0760685, 0.316297, -0.10142, 1
DJI_0002.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.0172672, 0.0131733, 0.953965, -0.0466324, -0.119918, -0.00644945
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0942238, -0.0714684, -0.697572, 0.0306657, 0.083222, 0.0232617
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.102478, 0.120603, -0.28824, 0.0220358, 0.01803, 0.00730038
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0191835, 0.0692648, 0.19908, -0.0699738, 0.0383143, -0.00156886
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.00150798, -0.00580726, -0.31116, 0.0152118, 0.0381123, -0.00340588
