x,y,z,sx,sy,sz
755496.39,3279287.94,32.94,0.0137,0.0414,0.0973
755496.13,3279287.51,33.01,0.0105,0.0283,0.0717
755496.69,3279286.34,32.96,0.0073,0.0091,0.0197
755497.12,3279285.70,32.92,0.0071,0.0084,0.0186
755491.07,3279284.62,32.64,0.0133,0.0087,0.0272
755489.61,3279284.49,32.66,0.0220,0.0092,0.0362
755499.08,3279285.05,33.02,0.0072,0.0079,0.0184
755491.73,3279282.54,32.65,0.0094,0.0074,0.0187
755493.38,3279280.70,32.69,0.0075,0.0064,0.0158
755492.06,3279283.10,32.65,0.0116,0.0079,0.0240
755492.43,3279280.41,32.67,0.0080,0.0065,0.0160
755491.71,3279279.44,32.63,0.0089,0.0070,0.0172
755490.45,3279283.71,32.66,0.0129,0.0082,0.0245
755493.41,3279280.96,32.69,0.0083,0.0069,0.0178
755492.00,3279283.11,32.71,0.0200,0.0096,0.0409
755492.85,3279280.28,32.66,0.0104,0.0085,0.0223
755496.31,3279288.29,32.96,0.0079,0.0117,0.0237
755492.18,3279279.45,32.66,0.0082,0.0064,0.0159
755496.11,3279280.06,32.71,0.0062,0.0059,0.0142
755491.06,3279285.24,32.64,0.0124,0.0091,0.0253
755494.28,3279282.65,32.71,0.0073,0.0070,0.0163
755494.64,3279281.13,32.70,0.0096,0.0076,0.0218
755492.83,3279281.91,32.69,0.0079,0.0068,0.0162
755497.91,3279286.38,33.00,0.0076,0.0097,0.0219
755495.64,3279285.46,32.82,0.0074,0.0085,0.0194
755496.18,3279287.04,32.95,0.0076,0.0104,0.0238
755489.86,3279283.79,32.67,0.0213,0.0087,0.0360
755492.63,3279286.38,32.71,0.0100,0.0100,0.0247
755498.52,3279285.88,33.02,0.0149,0.0178,0.0531
755498.46,3279284.46,32.97,0.0081,0.0084,0.0246
755492.12,3279279.92,32.65,0.0082,0.0064,0.0160
755493.91,3279284.78,32.75,0.0079,0.0081,0.0184
755497.19,3279289.04,32.97,0.0084,0.0141,0.0268
755493.19,3279278.63,32.65,0.0112,0.0096,0.0229
755493.50,3279278.66,32.69,0.0073,0.0062,0.0152
755498.26,3279287.61,33.00,0.0087,0.0111,0.0247
755493.54,3279286.44,32.73,0.0205,0.0222,0.0799
755490.99,3279282.94,32.62,0.0104,0.0077,0.0197
755492.65,3279283.82,32.76,0.0087,0.0078,0.0190
755494.88,3279287.14,32.90,0.0085,0.0123,0.0301
755494.77,3279285.63,32.76,0.0078,0.0088,0.0231
755495.44,3279280.19,32.73,0.0099,0.0093,0.0256
755493.73,3279279.10,32.69,0.0084,0.0066,0.0169
755499.71,3279284.48,32.99,0.0152,0.0100,0.0383
