DJI_0001 H_12.83332_8.55554
1001 -2.67535 -1.63236
1002 -2.26919 -1.49092
1003 -1.98118 -0.34322
1004 -1.90242 0.35598
1005 2.90094 -2.31655
1006 3.99811 -3.06740
1007 -2.91794 1.94184
1008 3.62044 -0.52070
1009 3.53083 1.68722
1010 3.07094 -0.71972
1011 4.34424 1.34612
1012 5.38199 1.60318
1013 3.85196 -2.04286
1014 3.36036 1.51464
1015 3.13355 -0.75818
1016 4.12542 1.67427
1017 -2.82426 -1.93027
1018 5.07067 1.87166
1019 1.99813 3.65245
1020 2.55926 -2.74648
1021 1.80624 0.84578
1022 2.40426 2.09615
1023 3.21844 0.53703
1024 -2.85802 0.33187
1025 -0.72502 -0.32700
1026 -2.01250 -1.12491
1027 4.22651 -2.44534
1028 0.83587 -2.65715
1029 -2.99982 1.02830
1030 -2.13429 1.98668
1031 4.83512 1.50697
1032 0.85253 -0.83234
1033 -3.86512 -1.94627
1034 4.81034 2.99863
1035 4.60167 3.16244
1036 -3.80549 -0.32643
1037 0.17893 -2.18089
1038 3.89793 -1.20387
1039 2.27856 -0.88834
1040 -1.16267 -1.93636
1041 -0.21465 -0.93140
1042 2.38752 3.19549
1043 4.18885 2.99011
1044 -3.02592 2.69447
1045 2.51950 -0.15545
1046 1.92218 0.71664
1047 -2.44758 3.78754
1048 -3.87299 -0.97582
1049 3.88711 2.81745
1050 2.87605 2.96767
1051 -5.90051 0.07552
1052 -2.04652 1.77263
1053 3.26073 4.24814
1054 4.68573 4.15358
1055 -4.11373 4.11554
1056 -3.43320 4.06300
1057 5.78022 4.07564
1058 -0.13130 4.00798
1059 2.81002 3.97229
1060 3.61252 3.97348
1061 -6.19822 3.69448
1062 -0.95455 3.63663
1063 0.84269 3.64459
1064 5.48712 3.45792
1065 -5.85856 3.35378
1066 -6.38446 3.27683
1067 2.36792 3.12184
1068 -6.16961 3.08862
1069 -0.42315 3.02690
1070 -4.20973 2.89168
1071 5.32422 2.84187
1072 -4.23630 2.82813
1073 3.07989 2.76421
1074 1.07502 2.66412
1075 1.71499 2.52008
1076 -5.33272 2.40351
1077 -4.75260 1.67391
1078 -0.60475 1.68103
1079 0.14178 1.64310
1080 1.05411 1.44102
1081 -6.25407 1.32598
1082 1.25913 1.29872
1083 -0.01283 1.17596
1084 -3.93181 1.09867
1085 0.45686 0.80765
1086 5.73338 0.61028
1087 1.26261 0.54197
1088 -3.91551 0.46316
1089 3.47428 0.48347
1090 4.81088 0.31251
1091 -6.01356 0.14014
1092 -2.88994 0.12979
1093 3.96605 -0.06298
1094 -0.64836 -0.14502
1096 4.28205 -0.47653
1097 -6.36561 -0.65867
1098 5.52630 -0.68821
1099 -5.68440 -0.74981
1100 4.78792 -1.02405
1101 -2.14923 -1.84290
1102 5.18156 -1.87680
